t,x,x_dot,theta,theta_dot,u
0.0,0.0008319954996237143,0.1664267896201751,0.5220137717179715,-0.317228687533066,10.0
0.01,0.003329644901909144,0.33318653596478714,0.5172450708945011,-0.637198038110899,10.0
0.02,0.007497957620734699,0.5006161917659466,0.5092514590246102,-0.9626764077048604,10.0
0.03,0.013345347867672532,0.6690603066218394,0.4979637901086576,-1.2964859331917689,10.0
0.04,0.02088372521186868,0.8388737497544603,0.48328433211265337,-1.641524978614838,10.0
0.05,0.030128605302730142,1.0104228864967322,0.46508591825830253,-2.000784006639245,10.0
0.06,0.04109922073035814,1.1840842329949963,0.4432109901535158,-2.3773504310929394,10.0
0.07,0.05381860008444968,1.3602391533785947,0.4174706743157882,-2.774395721138303,10.0
0.08,0.06831356584944902,1.5392625173573091,0.38764411630968076,-3.195134778927801,10.0
0.09,0.08445718065226582,1.6899262481423212,0.3539664848788716,-3.5445721240630084,8.345875203609467
0.1,0.101772734222197,1.7734673573856143,0.3177618923119268,-3.6996541896207162,4.71020898744464
0.11,0.11966297995709568,1.8047246800512458,0.28076242446125743,-3.7028113486468994,1.9276899879798295
0.12,0.13767066835815805,1.796872742469449,0.24429519099972755,-3.5927062146667326,-0.11887163966894132
0.13,0.15546126852965336,1.7612730184057102,0.20932257121553846,-3.403603380609006,-1.5516459719464182
0.14,0.17280418017724988,1.7073336518011943,0.17649019841483332,-3.164518760753568,-2.492067432962358
0.15,0.18955314399826312,1.6424982899746532,0.14618175828122276,-2.8987535343137667,-3.053329829759895
0.16,0.2056272619798256,1.5723835006330313,0.11857571517398811,-2.6239971761941114,-3.334446067996323
0.17,0.2209939263045557,1.501023839725248,0.0936986660011836,-2.352903575309734,-3.417241042442619
0.18,0.2356544482694798,1.4311657332068584,0.07147157504833226,-2.0939340365780357,-3.366101826466619
0.19,0.2496326269346854,1.364560014069159,0.05174719507829541,-1.8522697946692324,-3.2296135754510766
0.2,0.26296608554037887,1.3022216449581225,0.03433866195338488,-1.6306586308356126,-3.0431278374418618
0.21,0.2756999768358975,1.2446429258424303,0.01904027385078086,-1.4301273180895224,-2.8315350332483646
0.22,0.28788258507496073,1.1919591614643799,0.005641892301175386,-1.2505427132766016,-2.611791917793452
0.23,0.299562373306614,1.1440718626161555,-0.006061564496506236,-1.0910314081972996,-2.3950423151254654
0.24,0.3107860911611194,1.1007376047069275,-0.01626423954334122,-0.9502822329216629,-2.1882692048046737
0.25,0.32159763756539894,1.0616301864881381,-0.025146017662383103,-0.8267565425539953,-1.9955510210990912
0.26,0.3320374464704973,1.0263831287863436,-0.03287096577289236,-0.7188301935646636,-1.8189743319526315
0.27,0.3421422265379834,0.9946180230093347,-0.03958694533999574,-0.6248863181292397,-1.6592865990847345
0.28,0.3519449334051017,0.9659627448957921,-0.04542597582437663,-0.5433730065738539,-1.516363845765591
0.29,0.3614748895170691,0.9400627895694026,-0.05050505574401751,-0.47283733845799747,-1.3895285564661024
0.3,0.37075799269921844,0.9165877097143655,-0.05492724029977246,-0.4119427978760132,-1.2777783053368332
0.31,0.37981697326800606,0.8952344023277378,-0.05878284016714141,-0.3594761797980741,-1.1799340159445997
0.32,0.3886716730402921,0.8757282127962647,-0.062150653582348524,-0.31434739807827494,-1.0947444105148318
0.33,0.39733932834279373,0.8578226378007949,-0.0650991743937869,-0.27558490292221,-1.0209543306380513
0.34,0.4058348456898967,0.8412981601701435,-0.0676877413818837,-0.24232853407048813,-0.9573481820523742
0.35000000000000003,0.41417106314983265,0.8259605539144056,-0.06996760896440782,-0.21382095170326854,-0.9027774725854396
0.36,0.4223589934526798,0.8116389285826681,-0.07198292954452329,-0.189398534902535,-0.8561753928661346
0.37,0.4304080469071902,0.7981836469738348,-0.07377164433264002,-0.16848217514132452,-0.8165648905932903
0.38,0.43832623341698124,0.7854642271770568,-0.07536628332188683,-0.15056830870710539,-0.7830612045526504
0.39,0.4461203439461408,0.7733673300644566,-0.07679467835166655,-0.1352204961790209,-0.7548692452907564
0.4,0.4537961124374666,0.7617948618719798,-0.07808059508157218,-0.12206161908889523,-0.7312793515622613
0.41000000000000003,0.46135835931871794,0.7506621887318122,-0.07924428985848293,-0.11076665607805655,-0.7116630445420737
0.42,0.46881111797983543,0.7398965158498493,-0.08030299801799057,-0.10105618812484785,-0.6954659783840174
0.43,0.47615774581974507,0.7294354217938979,-0.08127136063363193,-0.09269057788394017,-0.6822012136876587
0.44,0.48340102124108236,0.7192255133769362,-0.08216179577484851,-0.08546468756846166,-0.6714440795779226
0.45,0.4905432279916032,0.7092212397403077,-0.08298482020439513,-0.0792032449109224,-0.6628249728679663
0.46,0.497586228506439,0.6993838781180532,-0.08374932811834764,-0.07375688221813871,-0.6560214190185074
